J         CT        CP        eta
0.493266  0.040426  0.025276  0.788919
0.524632  0.034778  0.023165  0.787642
0.559610  0.028483  0.020564  0.775113
0.585123  0.023147  0.018104  0.748090
0.615107  0.016497  0.014790  0.686100
0.648183  0.008840  0.010957  0.522965
0.678583  0.002857  0.008002  0.242230
0.679859  0.002915  0.008046  0.246336
0.679859  0.002915  0.008046  0.246336
0.679859  0.002915  0.008046  0.246336
0.679859  0.002915  0.008046  0.246336
0.679859  0.002915  0.008046  0.246336
0.679859  0.002915  0.008046  0.246336
0.679859  0.002915  0.008046  0.246336
0.679859  0.002915  0.008046  0.246336
0.679859  0.002915  0.008046  0.246336
0.679859  0.002915  0.008046  0.246336
0.679859  0.002915  0.008046  0.246336
0.679859  0.002915  0.008046  0.246336
0.679859  0.002915  0.008046  0.246336
0.679859  0.002915  0.008046  0.246336
0.679859  0.002915  0.008046  0.246336
0.679859  0.002915  0.008046  0.246336
0.679859  0.002915  0.008046  0.246336
