J         CT        CP        eta
0.376328  0.058460  0.030260  0.727037
0.399248  0.055740  0.029831  0.746004
0.424474  0.052004  0.028917  0.763363
0.443188  0.049461  0.028262  0.775620
0.467215  0.046079  0.027133  0.793454
0.488030  0.043036  0.026236  0.800537
0.508118  0.039264  0.024874  0.802071
0.529038  0.036078  0.023708  0.805070
0.552583  0.032214  0.022229  0.800790
0.574266  0.028126  0.020451  0.789778
0.601078  0.023559  0.018431  0.768305
0.619979  0.019574  0.016519  0.734629
0.642591  0.014746  0.014074  0.673295
0.665519  0.009893  0.011750  0.560349
0.690593  0.005493  0.009465  0.400756
0.708501  0.000802  0.006930  0.081966
0.708699  0.000767  0.006903  0.078697
0.708699  0.000767  0.006903  0.078697
0.708699  0.000767  0.006903  0.078697
0.708699  0.000767  0.006903  0.078697
0.708699  0.000767  0.006903  0.078697
0.708699  0.000767  0.006903  0.078697
0.708699  0.000767  0.006903  0.078697
0.708699  0.000767  0.006903  0.078697
