J         CT        CP        eta
0.122816  0.087595  0.031984  0.336347
0.148424  0.086207  0.032479  0.393947
0.166147  0.083952  0.032360  0.431037
0.191557  0.081617  0.032484  0.481299
0.215445  0.080013  0.032863  0.524556
0.237241  0.076620  0.032573  0.558056
0.260878  0.073981  0.032669  0.590764
0.285131  0.070829  0.032429  0.622762
0.307595  0.067845  0.032057  0.650988
0.331482  0.064430  0.031455  0.678993
0.353217  0.061735  0.031125  0.700585
0.374193  0.058444  0.030435  0.718569
0.399035  0.056112  0.030133  0.743057
0.420150  0.052308  0.029055  0.756388
0.441731  0.049494  0.028351  0.771145
